"time"	        "freq"
4047.5	        0.3003027215564378
4059.5	        0.3002854297807044
4071.5	        0.3002681512691957
4083.5	        0.3002550958543809
4095.5	        0.3003494947491467
4107.5	        0.3003872910194348
4119.5	        0.30044513105461024
4131.5	        0.3004858619930149
4143.5	        0.3005051904173003
4155.5	        0.30049278759399967
4167.5	        0.3004981599800956
4179.5	        0.300534614690521
4191.5	        0.3004793002521464
4203.5	        0.3004919884742536
4215.5	        0.30055871586307203
4227.5	        0.30059653370699724
4239.5	        0.300561289550594
4251.5	        0.300599628234863
4263.5	        0.300733123660884
4275.5	        0.30072093439116865
4287.5	        0.3006324729064663
4299.5	        0.30057107655880566
4311.5	        0.30055266381156864
4323.5	        0.30053453588143364
4335.5	        0.300549191529243
4347.5	        0.300633497891754
4359.5	        0.300603002047371
4371.5	        0.3006333112302906
4383.5	        0.30071543693971237
4395.5	        0.3007259356622186
4407.5	        0.3007170877125952
4419.5	        0.30075194655681137
4431.5	        0.3007830604362063
4443.5	        0.3006957731540574
4455.5	        0.3007236757613471
4467.5	        0.30069840528202746
4479.5	        0.3006573307877012
4491.5	        0.300649287813886
4503.5	        0.3006298669336896
4515.5	        0.3006457720951403
4527.5	        0.30070325224997335
4539.5	        0.3007746899347866
4551.5	        0.3007194384807461
4563.5	        0.30083202834993905
4575.5	        0.30096397141570486
4587.5	        0.3010738379201613
4599.5	        0.3011254101557179
4611.5	        0.3010124924936139
4623.5	        0.30093774822325847
4635.5	        0.3009094079188983
4647.5	        0.30086180132949275
4659.5	        0.30074783075845185
4671.5	        0.3006567641978839
4683.5	        0.30060040372882424
4695.5	        0.3005956297143911
4707.5	        0.30064149196635415
4719.5	        0.30071960675430365
4731.5	        0.30080680680415284
4743.5	        0.3008415012753538
4755.5	        0.3007734967971073
4767.5	        0.30075566410990084
4779.5	        0.300797439389233
4791.5	        0.30092431845161965
4803.5	        0.3011152023469492
4815.5	        0.30117563431501887
4827.5	        0.3011115955938395
4839.5	        0.30117431632975045
4851.5	        0.30138353783733307
4863.5	        0.3014914499626068
4875.5	        0.3015037933375815
4887.5	        0.3014218896293105
4899.5	        0.30140878301588625
4911.5	        0.30144605079662123
4923.5	        0.30153766283321193
4935.5	        0.30159656334279017
4947.5	        0.3016076878031691
4959.5	        0.30171619506452785
4971.5	        0.30179009415989444
4983.5	        0.3018364264102211
4995.5	        0.30185249052981655
5007.5	        0.3019152232952178
5019.5	        0.30200357115091897
5031.5	        0.3020835050181004
5043.5	        0.3022668406913571
5055.5	        0.3023538312503853
5067.5	        0.3023344180567133
5079.5	        0.3023542668467727
5091.5	        0.30241421653510714
5103.5	        0.3024075193094279
5115.5	        0.3024880466197005
5127.5	        0.30257690830151057
5139.5	        0.302509963447237
5151.5	        0.3025673174779645
5163.5	        0.3027832795436392
5175.5	        0.3029112713543698
5187.5	        0.3029718281665992
5199.5	        0.3029887150494077
5211.5	        0.30291724173825896
5223.5	        0.30295227907099126
5235.5	        0.30308220222078674
5247.5	        0.3030894220548521
5259.5	        0.30295881054563156
5271.5	        0.30291689453019144
5283.5	        0.30294585338480395
5295.5	        0.3030156035477213
5307.5	        0.3030038093668541
5319.5	        0.30289739293659534
5331.5	        0.3028121327869247
5343.5	        0.30275815979239
5355.5	        0.3027930603673713
5367.5	        0.3027638442097001
5379.5	        0.30265104383102837
5391.5	        0.3025729548517224
5403.5	        0.30261845340086396
5415.5	        0.30270099202336154
5427.5	        0.30258527527954127
5439.5	        0.30241743354502015
5451.5	        0.3022030473199604
5463.5	        0.3020487772019522
5475.5	        0.30199304800607074
5487.5	        0.3019991016127121
5499.5	        0.30191754622849976
5511.5	        0.3017775557687423
5523.5	        0.30173056747632443
5535.5	        0.30170759326425894
5547.5	        0.3017699623570371
5559.5	        0.3018622106388737
5571.5	        0.30183574042706773
5583.5	        0.30160743691997294
5595.5	        0.3014939109795981
5607.5	        0.3015044487398558
5619.5	        0.30152535002269787
5631.5	        0.3015554394487179
5643.5	        0.3015255000750915
5655.5	        0.3014290439339061
5667.5	        0.3015072854307913
5679.5	        0.3016752317169107
5691.5	        0.30169866558190517
5703.5	        0.301651292216735
5715.5	        0.30169192612433965
5727.5	        0.30179839738856173
5739.5	        0.3019684496323195
5751.5	        0.30216787734463507
5763.5	        0.30230125936157237
5775.5	        0.3024467383930033
5787.5	        0.30270894346523985
5799.5	        0.3030080330696422
5811.5	        0.30328135176002413
5823.5	        0.3034726067572484
5835.5	        0.3036439569275323
5847.5	        0.3038504522926528
5859.5	        0.3040008610752848
5871.5	        0.3041788351544057
5883.5	        0.30440341884058375
5895.5	        0.3045760494759935
5907.5	        0.30472126288806806
5919.5	        0.30489256487345634
5931.5	        0.3051074475391573
5943.5	        0.3054047237650573
5955.5	        0.305703672405214
5967.5	        0.306036355290444
5979.5	        0.30633168921395404
5991.5	        0.3065734548593892
6003.5	        0.30683101939320967
6015.5	        0.30716982612512134
6027.5	        0.3075062628283014
6039.5	        0.3077328467751291
6051.5	        0.3079911791861569
6063.5	        0.3081987883530206
6075.5	        0.30836529680599567
6087.5	        0.3085819113388775
6099.5	        0.30884865939659845
6111.5	        0.3090894468270443
6123.5	        0.30932968120724336
6135.5	        0.3095768112961398
6147.5	        0.30980506495825266
6159.5	        0.3100832264384889
6171.5	        0.31040827875919014
6183.5	        0.3106982789825028
6195.5	        0.31097041696318617
6207.5	        0.31116308998725783
6219.5	        0.3113751828219474
6231.5	        0.31161174147996523
6243.5	        0.31184898608522316
6255.5	        0.31207789193971425
6267.5	        0.31229745771572004
6279.5	        0.3125949822576486
6291.5	        0.3128988085711497
6303.5	        0.31324872592482794
6315.5	        0.3135298438236611
6327.5	        0.3138163769698274
6339.5	        0.31412427808242727
6351.5	        0.3145403343801899
6363.5	        0.31491787499230073
6375.5	        0.3153339289208709
6387.5	        0.315794275654198
6399.5	        0.3162856027636628
